date,contestant_name,instagram_handle,season,cast_list,followers,following,post_count,is_private,full_name,biography,error
2026-08-29,Clyde,astoldbyclyde,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=astoldbyclyde | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fastoldbyclyde%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/astoldbyclyde_selenium.html for inspection"
2026-08-29,Jay Vinnedge,wellroundedphysician,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=wellroundedphysician | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fwellroundedphysician%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/wellroundedphysician_selenium.html for inspection"
2026-08-29,Joe Vanella,thejoevanella,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=thejoevanella | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fthejoevanella%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/thejoevanella_selenium.html for inspection"
2026-08-29,Katie Fites,katie.fites, 5, new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=katie.fites | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fkatie.fites%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/katie.fites_selenium.html for inspection"
2026-08-29,Kim Daily,iamkimdaily,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=iamkimdaily | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fiamkimdaily%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/iamkimdaily_selenium.html for inspection"
2026-08-29,Kriste Lewis,kr1ste,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=kr1ste | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fkr1ste%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/kr1ste_selenium.html for inspection"
2026-08-29,Logan Smith,realtywithsmitty,5,new_blood,,,,,,,"html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Frealtywithsmitty%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/realtywithsmitty_selenium.html for inspection"
2026-08-29,Madeline Kostopulos,madelinekostopulos,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=madelinekostopulos | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fmadelinekostopulos%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/madelinekostopulos_selenium.html for inspection"
2026-08-29,Mark Zgoda,markzgoda,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=markzgoda | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fmarkzgoda%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/markzgoda_selenium.html for inspection"
2026-08-29,Michael Foote,dept_of_redundancy_dept,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=dept_of_redundancy_dept | html_fallback failed: blocked: redirected to login wall (final url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fdept_of_redundancy_dept%2F%3Fhl%3Den&is_from_rle) | selenium_fallback failed: [selenium] found a description tag but couldn't parse counts from it: ""Create an account or log in to Instagram - Share what you're into with the people who get you."" — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/dept_of_redundancy_dept_selenium.html for inspection"
